IH,IW,IC,OC,PH,PW,KH,KW,SH,SW,OH,OW,T
16,16,32,22,2,2,5,5,1,1,16,16,0
32,32,3,3,2,2,5,5,1,1,32,32,836
32,32,3,6,2,2,5,5,1,1,32,32,916
32,32,3,9,2,2,5,5,1,1,32,32,1394
32,32,3,12,2,2,5,5,1,1,32,32,1478
32,32,3,16,2,2,5,5,1,1,32,32,1845
32,32,3,19,2,2,5,5,1,1,32,32,2304
32,32,3,22,2,2,5,5,1,1,32,32,2384
32,32,3,25,2,2,5,5,1,1,32,32,2861
32,32,3,28,2,2,5,5,1,1,32,32,2946
32,32,3,32,2,2,5,5,1,1,32,32,3312
16,16,32,3,2,2,5,5,1,1,16,16,1807
16,16,32,6,2,2,5,5,1,1,16,16,1925
16,16,32,9,2,2,5,5,1,1,16,16,2811
16,16,32,12,2,2,5,5,1,1,16,16,2929
16,16,32,16,2,2,5,5,1,1,16,16,3599
16,16,32,19,2,2,5,5,1,1,16,16,4486
16,16,32,22,2,2,5,5,1,1,16,16,4604
16,16,32,25,2,2,5,5,1,1,16,16,5490
16,16,32,28,2,2,5,5,1,1,16,16,5608
16,16,32,32,2,2,5,5,1,1,16,16,6278
8,8,32,6,2,2,5,5,1,1,8,8,472
8,8,32,12,2,2,5,5,1,1,8,8,722
8,8,32,19,2,2,5,5,1,1,8,8,1112
8,8,32,25,2,2,5,5,1,1,8,8,1363
8,8,32,32,2,2,5,5,1,1,8,8,1560
8,8,32,38,2,2,5,5,1,1,8,8,1811
8,8,32,44,2,2,5,5,1,1,8,8,2062
8,8,32,51,2,2,5,5,1,1,8,8,2451
8,8,32,57,2,2,5,5,1,1,8,8,2702
8,8,32,64,2,2,5,5,1,1,8,8,2900
144,144,3,1,1,1,3,3,2,2,72,72,1512
144,144,3,3,1,1,3,3,2,2,72,72,1884
144,144,3,4,1,1,3,3,2,2,72,72,1684
144,144,3,6,1,1,3,3,2,2,72,72,2050
144,144,3,8,1,1,3,3,2,2,72,72,2452
144,144,3,9,1,1,3,3,2,2,72,72,3051
144,144,3,11,1,1,3,3,2,2,72,72,3423
144,144,3,12,1,1,3,3,2,2,72,72,3222
144,144,3,14,1,1,3,3,2,2,72,72,3589
144,144,3,16,1,1,3,3,2,2,72,72,3990
176,176,3,1,1,1,3,3,2,2,88,88,2260
176,176,3,3,1,1,3,3,2,2,88,88,2815
176,176,3,4,1,1,3,3,2,2,88,88,2515
176,176,3,6,1,1,3,3,2,2,88,88,3064
176,176,3,8,1,1,3,3,2,2,88,88,3664
176,176,3,9,1,1,3,3,2,2,88,88,4559
176,176,3,11,1,1,3,3,2,2,88,88,5114
176,176,3,12,1,1,3,3,2,2,88,88,4815
176,176,3,14,1,1,3,3,2,2,88,88,5361
176,176,3,16,1,1,3,3,2,2,88,88,5962
96,96,3,1,1,1,3,3,2,2,48,48,672
96,96,3,3,1,1,3,3,2,2,48,48,837
96,96,3,4,1,1,3,3,2,2,48,48,748
96,96,3,6,1,1,3,3,2,2,48,48,911
96,96,3,8,1,1,3,3,2,2,48,48,1089
96,96,3,9,1,1,3,3,2,2,48,48,1356
96,96,3,11,1,1,3,3,2,2,48,48,1521
96,96,3,12,1,1,3,3,2,2,48,48,1432
96,96,3,14,1,1,3,3,2,2,48,48,1594
96,96,3,16,1,1,3,3,2,2,48,48,1773
