IH,IW,IC,OC,PH,PW,KH,KW,SH,SW,OH,OW,T
72,72,4,4,1,1,3,3,2,2,36,36,123
72,72,9,9,1,1,3,3,2,2,36,36,278
72,72,14,14,1,1,3,3,2,2,36,36,432
72,72,19,19,1,1,3,3,2,2,36,36,587
72,72,24,24,1,1,3,3,2,2,36,36,740
72,72,28,28,1,1,3,3,2,2,36,36,864
72,72,33,33,1,1,3,3,2,2,36,36,1018
72,72,38,38,1,1,3,3,2,2,36,36,1172
72,72,43,43,1,1,3,3,2,2,36,36,1327
72,72,48,48,1,1,3,3,2,2,36,36,1480
36,36,4,4,1,1,3,3,2,2,18,18,32
36,36,9,9,1,1,3,3,2,2,18,18,72
36,36,14,14,1,1,3,3,2,2,18,18,112
36,36,19,19,1,1,3,3,2,2,18,18,151
36,36,24,24,1,1,3,3,2,2,18,18,191
36,36,28,28,1,1,3,3,2,2,18,18,223
36,36,33,33,1,1,3,3,2,2,18,18,262
36,36,38,38,1,1,3,3,2,2,18,18,303
36,36,43,43,1,1,3,3,2,2,18,18,342
36,36,48,48,1,1,3,3,2,2,18,18,382
18,18,9,9,1,1,3,3,2,2,9,9,19
18,18,19,19,1,1,3,3,2,2,9,9,41
18,18,28,28,1,1,3,3,2,2,9,9,60
18,18,38,38,1,1,3,3,2,2,9,9,82
18,18,48,48,1,1,3,3,2,2,9,9,103
18,18,57,57,1,1,3,3,2,2,9,9,123
18,18,67,67,1,1,3,3,2,2,9,9,144
18,18,76,76,1,1,3,3,2,2,9,9,164
18,18,86,86,1,1,3,3,2,2,9,9,185
18,18,96,96,1,1,3,3,2,2,9,9,206
9,9,19,19,1,1,3,3,2,2,5,5,14
9,9,38,38,1,1,3,3,2,2,5,5,27
9,9,57,57,1,1,3,3,2,2,5,5,40
9,9,76,76,1,1,3,3,2,2,5,5,54
9,9,96,96,1,1,3,3,2,2,5,5,68
9,9,115,115,1,1,3,3,2,2,5,5,81
9,9,134,134,1,1,3,3,2,2,5,5,95
9,9,153,153,1,1,3,3,2,2,5,5,109
9,9,172,172,1,1,3,3,2,2,5,5,121
9,9,192,192,1,1,3,3,2,2,5,5,136
88,88,2,2,1,1,3,3,2,2,44,44,92
88,88,4,4,1,1,3,3,2,2,44,44,184
88,88,7,7,1,1,3,3,2,2,44,44,321
88,88,9,9,1,1,3,3,2,2,44,44,413
88,88,12,12,1,1,3,3,2,2,44,44,550
88,88,14,14,1,1,3,3,2,2,44,44,642
88,88,16,16,1,1,3,3,2,2,44,44,733
88,88,19,19,1,1,3,3,2,2,44,44,871
88,88,21,21,1,1,3,3,2,2,44,44,962
88,88,24,24,1,1,3,3,2,2,44,44,1100
44,44,4,4,1,1,3,3,2,2,22,22,48
44,44,9,9,1,1,3,3,2,2,22,22,105
44,44,14,14,1,1,3,3,2,2,22,22,165
44,44,19,19,1,1,3,3,2,2,22,22,223
44,44,24,24,1,1,3,3,2,2,22,22,282
44,44,28,28,1,1,3,3,2,2,22,22,330
44,44,33,33,1,1,3,3,2,2,22,22,387
44,44,38,38,1,1,3,3,2,2,22,22,447
44,44,43,43,1,1,3,3,2,2,22,22,505
44,44,48,48,1,1,3,3,2,2,22,22,564
22,22,9,9,1,1,3,3,2,2,11,11,28
22,22,19,19,1,1,3,3,2,2,11,11,60
22,22,28,28,1,1,3,3,2,2,11,11,88
22,22,38,38,1,1,3,3,2,2,11,11,119
22,22,48,48,1,1,3,3,2,2,11,11,150
22,22,57,57,1,1,3,3,2,2,11,11,178
22,22,67,67,1,1,3,3,2,2,11,11,210
22,22,76,76,1,1,3,3,2,2,11,11,238
22,22,86,86,1,1,3,3,2,2,11,11,269
22,22,96,96,1,1,3,3,2,2,11,11,301
11,11,19,19,1,1,3,3,2,2,6,6,18
11,11,38,38,1,1,3,3,2,2,6,6,37
11,11,57,57,1,1,3,3,2,2,6,6,55
11,11,76,76,1,1,3,3,2,2,6,6,73
11,11,96,96,1,1,3,3,2,2,6,6,93
11,11,115,115,1,1,3,3,2,2,6,6,110
11,11,134,134,1,1,3,3,2,2,6,6,130
11,11,153,153,1,1,3,3,2,2,6,6,147
11,11,172,172,1,1,3,3,2,2,6,6,166
11,11,192,192,1,1,3,3,2,2,6,6,185
48,48,3,3,1,1,3,3,2,2,24,24,41
48,48,6,6,1,1,3,3,2,2,24,24,83
48,48,9,9,1,1,3,3,2,2,24,24,126
48,48,12,12,1,1,3,3,2,2,24,24,167
48,48,16,16,1,1,3,3,2,2,24,24,223
48,48,19,19,1,1,3,3,2,2,24,24,264
48,48,22,22,1,1,3,3,2,2,24,24,307
48,48,25,25,1,1,3,3,2,2,24,24,348
48,48,28,28,1,1,3,3,2,2,24,24,390
48,48,32,32,1,1,3,3,2,2,24,24,446
12,12,12,12,1,1,3,3,2,2,6,6,12
12,12,24,24,1,1,3,3,2,2,6,6,24
12,12,36,36,1,1,3,3,2,2,6,6,36
12,12,48,48,1,1,3,3,2,2,6,6,49
12,12,60,60,1,1,3,3,2,2,6,6,60
12,12,72,72,1,1,3,3,2,2,6,6,73
12,12,84,84,1,1,3,3,2,2,6,6,85
12,12,96,96,1,1,3,3,2,2,6,6,96
12,12,108,108,1,1,3,3,2,2,6,6,109
12,12,120,120,1,1,3,3,2,2,6,6,121
72,72,4,4,1,1,3,3,2,2,36,36,124
72,72,9,9,1,1,3,3,2,2,36,36,278
72,72,14,14,1,1,3,3,2,2,36,36,432
72,72,19,19,1,1,3,3,2,2,36,36,586
72,72,24,24,1,1,3,3,2,2,36,36,740
72,72,28,28,1,1,3,3,2,2,36,36,864
72,72,33,33,1,1,3,3,2,2,36,36,1018
72,72,38,38,1,1,3,3,2,2,36,36,1173
72,72,43,43,1,1,3,3,2,2,36,36,1326
72,72,48,48,1,1,3,3,2,2,36,36,1481
36,36,4,4,1,1,3,3,2,2,18,18,32
36,36,9,9,1,1,3,3,2,2,18,18,71
36,36,14,14,1,1,3,3,2,2,18,18,111
36,36,19,19,1,1,3,3,2,2,18,18,151
36,36,24,24,1,1,3,3,2,2,18,18,191
36,36,28,28,1,1,3,3,2,2,18,18,223
36,36,33,33,1,1,3,3,2,2,18,18,263
36,36,38,38,1,1,3,3,2,2,18,18,302
36,36,43,43,1,1,3,3,2,2,18,18,342
36,36,48,48,1,1,3,3,2,2,18,18,382
18,18,9,9,1,1,3,3,2,2,9,9,19
18,18,19,19,1,1,3,3,2,2,9,9,41
18,18,28,28,1,1,3,3,2,2,9,9,61
18,18,38,38,1,1,3,3,2,2,9,9,81
18,18,48,48,1,1,3,3,2,2,9,9,104
18,18,57,57,1,1,3,3,2,2,9,9,122
18,18,67,67,1,1,3,3,2,2,9,9,144
18,18,76,76,1,1,3,3,2,2,9,9,164
18,18,86,86,1,1,3,3,2,2,9,9,185
18,18,96,96,1,1,3,3,2,2,9,9,206
9,9,19,19,1,1,3,3,2,2,5,5,14
9,9,38,38,1,1,3,3,2,2,5,5,27
9,9,57,57,1,1,3,3,2,2,5,5,40
9,9,76,76,1,1,3,3,2,2,5,5,54
9,9,96,96,1,1,3,3,2,2,5,5,68
9,9,115,115,1,1,3,3,2,2,5,5,82
9,9,134,134,1,1,3,3,2,2,5,5,95
9,9,153,153,1,1,3,3,2,2,5,5,108
9,9,172,172,1,1,3,3,2,2,5,5,122
9,9,192,192,1,1,3,3,2,2,5,5,136
88,88,2,2,1,1,3,3,2,2,44,44,92
88,88,4,4,1,1,3,3,2,2,44,44,183
88,88,7,7,1,1,3,3,2,2,44,44,321
88,88,9,9,1,1,3,3,2,2,44,44,413
88,88,12,12,1,1,3,3,2,2,44,44,550
88,88,14,14,1,1,3,3,2,2,44,44,642
88,88,16,16,1,1,3,3,2,2,44,44,733
88,88,19,19,1,1,3,3,2,2,44,44,871
88,88,21,21,1,1,3,3,2,2,44,44,963
88,88,24,24,1,1,3,3,2,2,44,44,1100
44,44,4,4,1,1,3,3,2,2,22,22,47
44,44,9,9,1,1,3,3,2,2,22,22,106
44,44,14,14,1,1,3,3,2,2,22,22,164
44,44,19,19,1,1,3,3,2,2,22,22,224
44,44,24,24,1,1,3,3,2,2,22,22,282
44,44,28,28,1,1,3,3,2,2,22,22,329
44,44,33,33,1,1,3,3,2,2,22,22,388
44,44,38,38,1,1,3,3,2,2,22,22,446
44,44,43,43,1,1,3,3,2,2,22,22,505
44,44,48,48,1,1,3,3,2,2,22,22,564
22,22,9,9,1,1,3,3,2,2,11,11,29
22,22,19,19,1,1,3,3,2,2,11,11,59
22,22,28,28,1,1,3,3,2,2,11,11,88
22,22,38,38,1,1,3,3,2,2,11,11,119
