IH,IW,IC,OC,PH,PW,KH,KW,SH,SW,OH,OW,T
72,72,1,1,1,1,3,3,2,2,72,72,45
72,72,3,3,1,1,3,3,2,2,72,72,133
72,72,4,4,1,1,3,3,2,2,72,72,178
72,72,6,6,1,1,3,3,2,2,72,72,266
72,72,8,8,1,1,3,3,2,2,72,72,355
72,72,9,9,1,1,3,3,2,2,72,72,400
72,72,11,11,1,1,3,3,2,2,72,72,489
72,72,12,12,1,1,3,3,2,2,72,72,533
72,72,14,14,1,1,3,3,2,2,72,72,622
72,72,16,16,1,1,3,3,2,2,72,72,711
36,36,4,4,1,1,3,3,2,2,36,36,45
36,36,9,9,1,1,3,3,2,2,36,36,101
36,36,14,14,1,1,3,3,2,2,36,36,157
36,36,19,19,1,1,3,3,2,2,36,36,213
36,36,24,24,1,1,3,3,2,2,36,36,270
36,36,28,28,1,1,3,3,2,2,36,36,314
36,36,33,33,1,1,3,3,2,2,36,36,371
36,36,38,38,1,1,3,3,2,2,36,36,426
36,36,43,43,1,1,3,3,2,2,36,36,483
36,36,48,48,1,1,3,3,2,2,36,36,538
18,18,9,9,1,1,3,3,2,2,18,18,26
18,18,19,19,1,1,3,3,2,2,18,18,55
18,18,28,28,1,1,3,3,2,2,18,18,82
18,18,38,38,1,1,3,3,2,2,18,18,111
18,18,48,48,1,1,3,3,2,2,18,18,140
18,18,57,57,1,1,3,3,2,2,18,18,166
18,18,67,67,1,1,3,3,2,2,18,18,195
18,18,76,76,1,1,3,3,2,2,18,18,222
18,18,86,86,1,1,3,3,2,2,18,18,251
18,18,96,96,1,1,3,3,2,2,18,18,280
9,9,14,14,1,1,3,3,2,2,9,9,12
9,9,28,28,1,1,3,3,2,2,9,9,23
9,9,43,43,1,1,3,3,2,2,9,9,35
9,9,57,57,1,1,3,3,2,2,9,9,47
9,9,72,72,1,1,3,3,2,2,9,9,59
9,9,86,86,1,1,3,3,2,2,9,9,70
9,9,100,100,1,1,3,3,2,2,9,9,81
9,9,115,115,1,1,3,3,2,2,9,9,94
